image_path,label,dataset,case_id
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0130.jpg,0,TN3K_trainval,0130
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1882.jpg,0,TN3K_trainval,1882
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2207.jpg,1,TN3K_trainval,2207
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0690.jpg,0,TN3K_trainval,0690
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1898.jpg,0,TN3K_trainval,1898
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0100.jpg,0,TN3K_trainval,0100
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1013.jpg,0,TN3K_trainval,1013
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0695.jpg,0,TN3K_trainval,0695
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1179.jpg,0,TN3K_trainval,1179
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2305.jpg,0,TN3K_trainval,2305
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0641.jpg,0,TN3K_trainval,0641
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1035.jpg,0,TN3K_trainval,1035
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0593.jpg,0,TN3K_trainval,0593
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2734.jpg,1,TN3K_trainval,2734
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1037.jpg,0,TN3K_trainval,1037
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2341.jpg,0,TN3K_trainval,2341
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0074.jpg,0,TN3K_trainval,0074
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0649.jpg,0,TN3K_trainval,0649
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1363.jpg,0,TN3K_trainval,1363
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0701.jpg,1,TN3K_trainval,0701
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2072.jpg,1,TN3K_trainval,2072
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0800.jpg,1,TN3K_trainval,0800
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1748.jpg,0,TN3K_trainval,1748
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2464.jpg,0,TN3K_trainval,2464
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0971.jpg,0,TN3K_trainval,0971
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0522.jpg,0,TN3K_trainval,0522
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0891.jpg,1,TN3K_trainval,0891
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0102.jpg,0,TN3K_trainval,0102
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2832.jpg,1,TN3K_trainval,2832
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0652.jpg,0,TN3K_trainval,0652
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2146.jpg,1,TN3K_trainval,2146
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0327.jpg,0,TN3K_trainval,0327
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1090.jpg,0,TN3K_trainval,1090
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0243.jpg,0,TN3K_trainval,0243
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1198.jpg,0,TN3K_trainval,1198
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0143.jpg,0,TN3K_trainval,0143
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\0089.jpg,0,TN3K_trainval,0089
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1340.jpg,0,TN3K_trainval,1340
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\1531.jpg,1,TN3K_trainval,1531
D:\Thyroid-BHI-26\Thyroid Dataset\tn3k\trainval-image\2619.jpg,0,TN3K_trainval,2619
