modality,model,fold,n,cases,auroc,auprc,threshold_inner_val,sensitivity,specificity,brier
ultrasound,ConvNeXt-Small,1,62,62,0.5085,0.604,0.3135,0.389,0.692,0.3149
ultrasound,ConvNeXt-Small,2,63,63,0.5717,0.7309,0.4692,0.4,0.696,0.2596
ultrasound,ConvNeXt-Small,3,61,61,0.7064,0.7076,0.3828,0.971,0.296,0.2772
ultrasound,ConvNeXt-Small,4,61,61,0.7584,0.8563,0.3057,0.27,1.0,0.3291
ultrasound,ConvNeXt-Small,5,62,62,0.675,0.7109,0.4073,0.312,0.933,0.2615
ultrasound,EfficientNet-B3,1,62,62,0.8002,0.8484,0.0051,0.806,0.654,0.3245
ultrasound,EfficientNet-B3,2,63,63,0.5837,0.7507,0.6974,0.625,0.435,0.4104
ultrasound,EfficientNet-B3,3,61,61,0.7326,0.7561,0.9934,0.471,0.741,0.2678
ultrasound,EfficientNet-B3,4,61,61,0.7106,0.789,0.2248,0.757,0.583,0.2879
ultrasound,EfficientNet-B3,5,62,62,0.674,0.7111,0.0129,0.938,0.367,0.345
ultrasound,Swin-Tiny,1,62,62,0.5288,0.5984,0.5155,0.306,0.654,0.2497
ultrasound,Swin-Tiny,2,63,63,0.5685,0.7215,0.5982,0.475,0.696,0.2466
ultrasound,Swin-Tiny,3,61,61,0.6808,0.7554,0.3256,0.412,0.889,0.3004
ultrasound,Swin-Tiny,4,61,61,0.6081,0.6425,0.4551,0.324,0.75,0.2588
ultrasound,Swin-Tiny,5,62,62,0.675,0.6899,0.5037,0.594,0.7,0.2407
ultrasound,ResNet-50,1,62,62,0.7682,0.8388,0.4076,0.639,0.731,0.2302
ultrasound,ResNet-50,2,63,63,0.6043,0.7291,0.3685,0.7,0.435,0.2924
ultrasound,ResNet-50,3,61,61,0.744,0.7229,0.5902,0.588,0.778,0.2204
ultrasound,ResNet-50,4,61,61,0.7646,0.8566,0.9531,0.595,0.75,0.2417
ultrasound,ResNet-50,5,62,62,0.8333,0.8347,0.0926,0.906,0.433,0.1849
ultrasound,DenseNet-121,1,62,62,0.8397,0.8785,0.533,0.611,0.885,0.2154
ultrasound,DenseNet-121,2,63,63,0.7163,0.8108,0.9834,0.45,0.826,0.2367
ultrasound,DenseNet-121,3,61,61,0.8039,0.8285,0.5421,0.735,0.63,0.1936
ultrasound,DenseNet-121,4,61,61,0.7928,0.8177,0.1268,0.892,0.542,0.2649
ultrasound,DenseNet-121,5,62,62,0.8271,0.8554,0.3156,0.812,0.633,0.1822
ultrasound,Ensemble (mean of 5),1,62,62,0.7959,0.8513,0.3643,0.75,0.769,0.2144
ultrasound,Ensemble (mean of 5),2,63,63,0.5989,0.7104,0.6206,0.5,0.652,0.2278
ultrasound,Ensemble (mean of 5),3,61,61,0.8094,0.8556,0.4991,0.706,0.704,0.1884
ultrasound,Ensemble (mean of 5),4,61,61,0.7838,0.8354,0.4836,0.73,0.667,0.2009
ultrasound,Ensemble (mean of 5),5,62,62,0.8292,0.8581,0.357,0.906,0.467,0.1802
cytology,ConvNeXt-Small,1,217,64,0.9534,0.9528,0.5276,0.85,0.927,0.0918
cytology,ConvNeXt-Small,2,223,65,0.8006,0.8393,0.5702,0.767,0.65,0.2433
cytology,ConvNeXt-Small,3,216,65,0.8001,0.8212,0.3048,0.759,0.712,0.1876
cytology,ConvNeXt-Small,4,224,65,0.9298,0.9364,0.2497,0.927,0.74,0.103
cytology,ConvNeXt-Small,5,238,67,0.8763,0.8504,0.5902,0.91,0.716,0.1407
cytology,EfficientNet-B3,1,217,64,0.9551,0.9479,0.0162,0.963,0.809,0.097
cytology,EfficientNet-B3,2,223,65,0.9882,0.991,0.8934,0.908,0.99,0.0435
cytology,EfficientNet-B3,3,216,65,0.9288,0.9257,0.6218,0.866,0.894,0.1064
cytology,EfficientNet-B3,4,224,65,0.9757,0.9799,0.2237,0.919,0.9,0.0841
cytology,EfficientNet-B3,5,238,67,0.9498,0.9385,0.9314,0.943,0.828,0.1084
cytology,Swin-Tiny,1,217,64,0.9834,0.9837,0.6432,0.935,0.909,0.0647
cytology,Swin-Tiny,2,223,65,0.9975,0.998,0.9156,0.85,1.0,0.0211
cytology,Swin-Tiny,3,216,65,0.9434,0.9471,0.4394,0.875,0.913,0.0917
cytology,Swin-Tiny,4,224,65,0.9557,0.9651,0.1015,0.887,0.87,0.1138
cytology,Swin-Tiny,5,238,67,0.9349,0.9255,0.4225,0.951,0.776,0.1009
cytology,ResNet-50,1,217,64,0.9734,0.9758,0.4239,0.925,0.891,0.0668
cytology,ResNet-50,2,223,65,0.9964,0.997,0.7685,0.933,0.99,0.0233
cytology,ResNet-50,3,216,65,0.9311,0.937,0.308,0.893,0.865,0.1157
cytology,ResNet-50,4,224,65,0.9402,0.9478,0.3448,0.935,0.79,0.0888
cytology,ResNet-50,5,238,67,0.9495,0.9559,0.6778,0.918,0.845,0.1016
cytology,DenseNet-121,1,217,64,0.9633,0.9689,0.4758,0.879,0.9,0.0766
cytology,DenseNet-121,2,223,65,0.9895,0.9915,0.816,0.875,0.971,0.039
cytology,DenseNet-121,3,216,65,0.9372,0.9388,0.5787,0.839,0.933,0.0983
cytology,DenseNet-121,4,224,65,0.9688,0.9776,0.7419,0.919,0.9,0.0709
cytology,DenseNet-121,5,238,67,0.9241,0.9184,0.7091,0.926,0.75,0.145
cytology,Ensemble (mean of 5),1,217,64,0.9822,0.9842,0.3089,0.972,0.827,0.0548
cytology,Ensemble (mean of 5),2,223,65,0.9964,0.9972,0.6915,0.942,1.0,0.0329
cytology,Ensemble (mean of 5),3,216,65,0.9328,0.9431,0.4424,0.902,0.904,0.093
cytology,Ensemble (mean of 5),4,224,65,0.9719,0.978,0.4036,0.944,0.91,0.0648
cytology,Ensemble (mean of 5),5,238,67,0.9361,0.9274,0.5232,0.959,0.802,0.0957
