image_path,label,prob_malignant,partition,box_x0,box_y0,box_x1,box_y1,box_method,cam_mass_outside_sector,sector_area_outside,peak_outside_sector,status,pred,outcome
D:\Thyroid-BHI-26\data\Ultrasound images of papillary thyroid carcinoma\201.JPG,1,0.0062033673748373,val,0.12362637362637363,0.10144927536231885,0.8152472527472527,0.8115942028985508,detected,0.3757005784548439,0.5025510204081632,False,ok,0,FN
D:\Thyroid-BHI-26\data\Ultrasound images of benign thyroid lesions\121.JPG,0,2.229264828201849e-05,val,0.095703125,0.13671875,0.9033203125,0.9010416666666666,detected,0.3100103424479936,0.3761160714285714,False,ok,0,TN
D:\Thyroid-BHI-26\data\Ultrasound images of benign thyroid lesions\131.JPG,0,0.0002652325492817,val,0.13804945054945056,0.09580052493438321,0.8152472527472527,0.6456692913385826,detected,0.7388933257034702,0.6218909438775511,True,ok,0,TN
D:\Thyroid-BHI-26\data\Ultrasound images of benign thyroid lesions\153.JPG,0,0.0034806893672794,val,0.1407967032967033,0.10144927536231885,0.8440934065934066,0.686429512516469,detected,0.5008852869944582,0.5817123724489797,False,ok,0,TN
D:\Thyroid-BHI-26\data\Ultrasound images of benign thyroid lesions\47.JPG,0,0.00253805401735,val,0.12,0.12,0.88,0.9,fallback,0.598386196415722,0.3966836734693877,True,ok,0,TN
D:\Thyroid-BHI-26\data\Ultrasound images of papillary thyroid carcinoma\180.JPG,1,0.839801549911499,val,0.12,0.12,0.88,0.9,fallback,0.1455674484215752,0.3966836734693877,False,ok,1,TP
D:\Thyroid-BHI-26\data\Ultrasound images of benign thyroid lesions\93.JPG,0,3.9489132177550346e-06,val,0.0947265625,0.08854166666666667,0.90625,0.9544270833333334,detected,0.4388637639142893,0.2926897321428571,False,ok,0,TN
D:\Thyroid-BHI-26\data\Ultrasound images of benign thyroid lesions\127.JPG,0,0.3981290757656097,val,0.15384615384615385,0.09788359788359788,0.8173076923076923,0.5291005291005291,detected,0.8381422994675617,0.70703125,True,ok,1,FP
D:\Thyroid-BHI-26\data\Ultrasound images of benign thyroid lesions\79.JPG,0,2.748390397755429e-05,val,0.0947265625,0.08854166666666667,0.90625,0.9505208333333334,detected,0.2616461103616369,0.2963169642857143,False,ok,0,TN
D:\Thyroid-BHI-26\data\Ultrasound images of benign thyroid lesions\41.JPG,0,0.9979082345962524,val,0.12,0.12,0.88,0.9,fallback,0.1668605874991614,0.3966836734693877,False,ok,1,FP
D:\Thyroid-BHI-26\data\Ultrasound images of papillary thyroid carcinoma\111.JPG,1,0.8826521635055542,val,0.1537890044576523,0.09090909090909091,0.8915304606240714,0.8302139037433155,detected,0.2315485283042373,0.450813137755102,False,ok,1,TP
D:\Thyroid-BHI-26\data\Ultrasound images of papillary thyroid carcinoma\71.JPG,1,0.1761784255504608,val,0.24145616641901932,0.08155080213903744,0.8647845468053492,0.8155080213903744,detected,0.678126712092121,0.5396205357142857,True,ok,1,TP
D:\Thyroid-BHI-26\data\Ultrasound images of papillary thyroid carcinoma\88.JPG,1,0.9998760223388672,val,0.12,0.12,0.88,0.9,fallback,0.1511508995182424,0.3966836734693877,False,ok,1,TP
D:\Thyroid-BHI-26\data\Ultrasound images of papillary thyroid carcinoma\129.JPG,1,0.9971182346343994,val,0.12,0.12,0.88,0.9,fallback,0.1983910116675756,0.3966836734693877,False,ok,1,TP
D:\Thyroid-BHI-26\data\Ultrasound images of benign thyroid lesions\101.JPG,0,0.0001825022918637,val,0.13873626373626374,0.10498687664041995,0.8427197802197802,0.8556430446194225,detected,0.8546485349625884,0.4678332270408163,True,ok,0,TN
D:\Thyroid-BHI-26\data\Ultrasound images of papillary thyroid carcinoma\48.JPG,1,0.6445678472518921,val,0.0419921875,0.13932291666666666,0.986328125,0.8984375,detected,0.1576597299644723,0.2775031887755101,False,ok,1,TP
D:\Thyroid-BHI-26\data\Ultrasound images of papillary thyroid carcinoma\114.JPG,1,0.9999871253967284,val,0.12,0.12,0.88,0.9,fallback,0.1433569096764189,0.3966836734693877,False,ok,1,TP
D:\Thyroid-BHI-26\data\Ultrasound images of benign thyroid lesions\141.JPG,0,0.9999903440475464,val,0.12,0.12,0.88,0.9,fallback,0.1165429498579451,0.3966836734693877,False,ok,1,FP
D:\Thyroid-BHI-26\data\Ultrasound images of papillary thyroid carcinoma\108.JPG,1,0.9999831914901732,val,0.12,0.12,0.88,0.9,fallback,0.2393453060762719,0.3966836734693877,False,ok,1,TP
D:\Thyroid-BHI-26\data\Ultrasound images of papillary thyroid carcinoma\30.JPG,1,0.9990733861923218,val,0.138671875,0.19791666666666666,0.986328125,0.8984375,detected,0.2956541777469088,0.4017059948979592,False,ok,1,TP
D:\Thyroid-BHI-26\data\Ultrasound images of papillary thyroid carcinoma\115.JPG,1,0.9999871253967284,val,0.12,0.12,0.88,0.9,fallback,0.1433569096764189,0.3966836734693877,False,ok,1,TP
D:\Thyroid-BHI-26\data\Ultrasound images of papillary thyroid carcinoma\11.JPG,1,0.5461668372154236,val,0.068359375,0.140625,0.904296875,0.8971354166666666,detected,0.0500996191743304,0.3630420918367347,False,ok,1,TP
D:\Thyroid-BHI-26\data\Ultrasound images of papillary thyroid carcinoma\36.JPG,1,0.9844962358474731,val,0.13447251114413075,0.09090909090909091,0.8484398216939079,0.446524064171123,detected,0.7697316948920283,0.7400948660714286,True,ok,1,TP
