dataset,tsne1,tsne2
Pang val,0.19422828,8.942568
Pang train,-12.92066,4.551372
Pang train,-0.48357195,-5.5419292
Pang train,-5.97448,7.0573435
Pang train,-6.1838546,-14.506017
Pang train,-5.402628,-10.681243
Pang train,-6.811311,0.17005184
Pang val,11.934866,-11.650005
Pang train,8.317992,-10.158785
Pang train,-1.4770113,-3.4590604
Pang train,-12.323168,2.3920052
Pang train,-5.1066813,-12.7151165
Pang train,-0.6227333,10.790846
Pang train,3.7074804,-11.926738
Pang train,2.9378004,15.058098
Pang train,-3.6378093,-8.058099
Pang val,2.0304909,14.216218
Pang train,-2.0799644,-10.872243
Pang train,-1.4873776,9.16951
Pang train,-10.223417,0.80933523
Pang train,1.7825369,-14.282947
Pang test,10.597443,-3.7800827
Pang test,13.995666,-7.099184
Pang train,2.907792,-6.695746
Pang test,0.16738535,11.957733
Pang train,-6.842055,5.610335
Pang train,-5.1833763,18.225876
Pang train,8.094594,-10.001375
Pang val,1.5403639,7.39157
Pang train,-3.2786274,9.255018
Pang train,-9.867299,12.475573
Pang test,3.01812,11.058099
Pang train,-2.125282,2.0317492
Pang train,-9.182085,9.6427
Pang train,13.618546,-10.063836
Pang train,15.626811,-6.200562
Pang train,-1.875135,21.597645
Pang train,1.7876548,14.773822
Pang test,2.797367,4.5229397
Pang train,14.491829,-10.212395
Pang train,-7.256177,6.990187
Pang train,-3.9904833,-15.250691
Pang train,-3.2788014,7.2852216
Pang test,-1.1712219,0.040670626
Pang train,7.625071,-18.175283
Pang train,1.8495705,2.7002208
Pang train,-9.808174,6.24011
Pang train,9.010502,-5.7760696
Pang val,-3.672395,2.2781868
Pang train,-5.481998,10.572375
Pang val,2.3200686,6.384329
Pang train,2.4329123,15.858581
Pang train,-2.4301667,10.813901
Pang train,-2.7943294,-6.351143
Pang train,-5.2412057,14.932813
Pang train,1.2782495,12.187559
Pang train,14.6393,-3.7415857
Pang train,-4.313571,11.745432
Pang train,9.554961,-11.089517
Pang train,-6.484964,14.770655
Pang train,-4.878141,-7.520382
Pang train,-1.9438927,8.158397
Pang train,-3.808218,16.949411
Pang train,1.52304,6.3212767
Pang train,-3.1346624,2.733842
Pang train,-4.51904,5.13862
Pang val,11.807076,-9.2882185
Pang train,2.057709,-10.41839
Pang train,-10.678789,3.012317
Pang test,-4.6568837,-12.156697
Pang val,1.4357986,5.271196
Pang train,1.5193006,10.356483
Pang train,6.3001733,-20.007242
Pang train,10.218712,-9.742007
Pang train,-0.87416494,-9.839593
Pang train,3.319974,-16.608213
Pang train,0.17701113,13.125629
Pang test,7.5463552,-6.809916
Pang train,4.7742558,0.7871688
Pang train,-6.227151,2.3335502
Pang train,-4.6154428,3.6759381
Pang train,-11.798445,8.426163
Pang train,-1.2717037,-6.874379
Pang train,-11.478974,5.9975643
Pang train,1.2898118,-5.882076
Pang train,-1.038548,-2.4740012
Pang train,-0.93066305,-8.417924
Pang test,-4.837799,8.515933
Pang train,10.28047,-12.0512295
Pang test,9.172477,-13.28531
Pang val,14.031325,-7.4874635
Pang test,-11.442173,-0.95559585
Pang val,-9.017357,-3.2987628
Pang train,-0.19888775,6.6118584
Pang train,-8.535056,-5.65651
Pang val,-2.910346,3.2931886
Pang train,12.127242,-5.4611683
Pang train,-6.6842256,-9.450208
Pang train,-9.841426,12.409461
Pang val,-1.0187705,1.5889496
Pang val,-5.15325,2.402398
Pang train,-1.2216669,-1.824421
Pang test,10.763793,-2.9766116
Pang train,-4.686116,1.1110632
Pang train,-13.076309,2.0309036
Pang train,-3.611601,-9.746915
Pang train,-6.3599243,-3.596576
Pang train,0.8526102,-2.8716
Pang train,-5.8163867,1.4273771
Pang test,4.9122505,14.412088
Pang train,-10.893437,-2.4503028
Pang train,8.09284,-16.276503
Pang val,-4.2641687,-14.572115
Pang train,10.7349205,2.7942948
Pang train,10.229876,2.093364
Pang train,-3.518823,-2.4818373
Pang train,10.102401,10.024463
Pang train,-6.943426,9.524882
Pang train,-3.4753838,12.38823
Pang test,2.0487754,-7.877144
Pang test,4.685167,6.379658
Pang test,-9.657634,-1.4302868
Pang train,-4.831876,19.495901
Pang train,8.433538,9.1748
Pang train,4.2096314,-20.764894
Pang train,0.54759735,15.028516
Pang val,3.832979,11.307041
Pang train,-3.1281214,5.0336213
Pang train,6.2173862,-17.22873
Pang train,8.312851,-17.409489
Pang val,6.888068,-15.393742
Pang val,-11.45943,-10.283495
Pang train,6.2360096,-14.531903
Pang train,-4.4159226,-5.471542
Pang train,10.267817,-12.969659
