i,j,hamming,cross_case,cross_label,both_in_frozen,cross_frozen_partition
0,35,8,True,False,True,True
0,46,10,True,False,True,True
0,55,10,True,False,True,False
0,75,10,True,True,True,False
0,83,10,True,True,True,True
0,315,10,True,False,True,True
0,348,10,True,True,True,True
1,221,10,True,False,True,True
2,36,8,True,False,True,False
2,98,10,True,True,True,True
2,107,10,True,False,True,True
2,119,8,True,False,True,True
2,139,10,True,False,True,True
2,179,10,True,False,True,True
2,211,10,True,False,True,False
2,255,10,True,True,True,True
2,257,10,True,True,True,False
2,338,10,True,True,True,True
2,385,10,True,False,True,False
5,29,10,True,False,False,False
5,88,10,True,False,True,False
5,112,10,True,False,True,False
5,123,10,True,True,False,False
5,143,10,True,True,False,False
5,211,8,True,False,True,False
5,237,10,True,False,True,False
5,242,10,True,False,False,False
5,263,10,True,False,True,False
5,304,10,True,False,True,True
6,355,10,True,False,True,True
9,127,8,True,True,True,True
10,21,10,True,False,True,False
10,46,10,True,False,True,False
10,68,10,True,False,True,False
10,99,10,True,False,True,False
11,46,10,True,False,True,False
11,49,10,True,False,True,False
11,62,10,True,True,True,False
11,99,8,True,False,True,False
11,165,10,True,False,True,True
11,171,10,True,False,True,False
11,266,10,True,False,True,False
11,285,8,True,False,True,False
11,348,10,True,True,True,False
11,382,8,True,False,True,False
12,15,10,True,True,True,False
13,175,0,True,True,False,False
16,107,10,True,False,True,True
16,223,10,True,False,True,False
16,283,10,True,False,True,True
16,385,10,True,False,True,False
17,205,0,True,True,False,False
17,331,10,True,False,False,False
19,26,10,True,False,True,False
19,116,10,True,True,True,True
19,128,10,True,False,True,True
19,139,10,True,False,True,True
19,179,10,True,False,True,True
19,237,8,True,False,True,False
19,241,10,True,False,True,False
19,258,10,True,False,True,True
19,315,10,True,False,True,True
20,32,10,True,False,True,True
20,191,10,True,True,True,False
20,236,10,True,False,True,False
20,271,10,True,True,True,False
20,311,10,True,True,True,True
20,344,10,True,True,True,False
20,354,10,True,False,True,False
21,34,10,True,True,True,False
21,72,10,True,False,True,False
21,108,10,True,True,True,False
21,111,10,True,False,True,False
21,117,10,True,False,True,False
21,129,10,True,True,True,True
21,162,10,True,True,True,False
21,165,10,True,False,True,True
21,178,8,True,False,True,False
21,342,10,True,False,True,False
21,354,10,True,True,True,False
21,377,10,True,False,True,False
25,106,10,True,False,False,False
25,148,0,True,True,False,False
25,262,10,True,True,False,False
25,324,10,True,False,False,False
25,369,10,True,True,False,False
26,128,10,True,False,True,True
26,141,10,True,False,True,False
26,171,10,True,False,True,False
26,196,8,True,True,True,True
26,305,10,True,False,True,True
26,369,10,True,True,True,True
26,382,8,True,False,True,False
27,129,10,True,False,True,False
27,134,10,True,False,True,True
29,65,4,True,False,False,False
29,74,10,True,False,False,False
29,88,10,True,False,False,False
29,89,10,True,False,False,False
29,112,4,True,False,False,False
29,143,0,True,True,False,False
29,165,10,True,False,False,False
29,211,10,True,False,False,False
29,285,10,True,False,False,False
29,304,10,True,False,False,False
29,311,10,True,False,False,False
29,313,10,True,False,False,False
29,371,10,True,True,False,False
32,34,10,True,False,True,True
32,35,10,True,True,True,True
32,49,10,True,True,True,True
32,100,8,True,True,True,True
32,155,10,True,True,True,True
32,161,10,True,False,True,False
32,162,10,True,False,True,True
32,165,10,True,True,True,False
32,285,8,True,True,True,True
32,293,10,True,False,True,True
32,354,8,True,False,True,True
32,371,8,True,False,True,False
34,35,10,True,True,True,True
34,46,8,True,True,True,False
34,49,8,True,True,True,False
34,68,8,True,True,True,False
34,111,10,True,True,True,False
34,128,10,True,True,True,True
34,129,10,True,False,True,True
34,157,8,True,True,True,False
34,162,8,True,False,True,False
34,178,10,True,True,True,False
34,234,8,True,False,True,True
34,271,10,True,True,True,False
34,297,8,True,True,True,False
34,377,10,True,True,True,False
34,386,10,True,True,True,False
35,46,8,True,False,True,True
35,49,10,True,False,True,True
35,76,10,True,True,True,True
35,131,10,True,False,True,True
35,162,10,True,True,True,True
35,183,10,True,True,True,True
35,277,10,True,True,True,True
35,348,8,True,True,True,True
35,364,10,True,False,True,True
36,98,10,True,True,True,True
36,104,10,True,False,True,False
36,113,10,True,False,True,False
36,119,8,True,False,True,True
36,139,10,True,False,True,True
36,141,10,True,False,True,False
36,179,10,True,False,True,True
36,186,10,True,False,True,True
36,211,6,True,False,True,False
36,237,8,True,False,True,False
36,241,8,True,False,True,False
36,263,10,True,False,True,False
36,264,10,True,True,True,True
36,273,10,True,False,True,True
36,285,10,True,False,True,False
36,315,10,True,False,True,True
36,328,8,True,False,True,False
36,330,10,True,False,True,True
36,338,8,True,True,True,True
36,355,10,True,False,True,True
36,385,8,True,False,True,False
37,223,8,True,False,True,False
37,283,10,True,False,True,True
40,234,10,True,False,True,True
40,261,10,True,False,True,True
40,342,10,True,True,True,False
42,104,10,True,False,True,True
42,111,10,True,False,True,True
42,129,6,True,True,True,False
42,289,10,True,False,True,False
42,344,10,True,False,True,True
42,349,10,True,False,True,True
42,353,10,True,False,True,True
42,354,10,True,True,True,True
42,368,10,True,False,True,True
44,135,10,True,True,True,False
44,139,10,True,False,True,True
44,179,10,True,False,True,True
45,167,10,True,True,True,False
46,49,8,True,False,True,False
46,68,4,True,False,True,False
46,75,10,True,True,True,True
46,83,10,True,True,True,False
46,111,10,True,False,True,False
46,128,10,True,False,True,True
46,129,10,True,True,True,True
46,153,10,True,True,True,False
46,156,10,True,False,True,False
46,157,10,True,False,True,False
46,162,10,True,True,True,False
46,165,8,True,False,True,True
46,178,8,True,False,True,False
46,217,10,True,False,True,False
46,234,10,True,True,True,True
46,245,10,True,False,True,False
46,271,10,True,False,True,False
46,297,10,True,False,True,False
46,300,10,True,False,True,False
46,315,10,True,False,True,True
46,348,8,True,True,True,False
46,377,10,True,False,True,False
46,382,8,True,False,True,False
47,171,10,True,False,True,True
47,201,10,True,False,True,True
47,285,10,True,False,True,True
47,352,10,True,False,True,False
48,173,8,True,False,True,True
49,68,10,True,False,True,False
49,69,10,True,False,True,False
49,99,10,True,False,True,False
49,111,10,True,False,True,False
49,156,10,True,False,True,False
49,162,10,True,True,True,False
49,165,10,True,False,True,True
49,171,10,True,False,True,False
49,245,10,True,False,True,False
49,285,8,True,False,True,False
49,348,8,True,True,True,False
50,172,10,True,True,True,False
50,262,10,True,True,True,True
53,98,10,True,True,False,False
53,113,10,True,False,False,False
53,139,10,True,False,False,False
53,167,10,True,True,False,False
53,179,10,True,False,False,False
53,185,10,True,True,False,False
53,199,0,True,True,False,False
53,211,10,True,False,False,False
53,241,10,True,False,False,False
53,263,10,True,False,False,False
53,273,10,True,False,False,False
53,315,10,True,False,False,False
55,83,10,True,True,True,True
55,234,8,True,True,True,False
55,271,10,True,False,True,True
55,297,10,True,False,True,True
55,348,10,True,True,True,True
57,236,10,True,False,True,False
59,134,10,True,False,True,True
60,238,10,True,True,True,False
60,262,10,True,False,True,True
62,99,10,True,True,True,False
62,165,10,True,True,True,True
62,247,8,True,True,True,True
62,384,10,True,False,True,True
65,70,10,True,False,True,False
65,89,10,True,False,True,False
65,112,8,True,False,True,False
65,143,4,True,True,False,False
65,198,10,True,False,False,False
65,246,10,True,True,False,False
65,371,10,True,True,True,True
66,81,10,True,True,True,False
66,117,10,True,False,True,False
66,262,10,True,True,True,True
66,300,10,True,False,True,False
66,342,10,True,False,True,False
66,344,10,True,False,True,False
68,111,10,True,False,True,False
68,129,10,True,True,True,True
68,153,10,True,True,True,False
68,157,8,True,False,True,False
68,162,10,True,True,True,False
68,165,6,True,False,True,True
68,178,10,True,False,True,False
68,217,8,True,False,True,False
68,245,10,True,False,True,False
68,247,10,True,False,True,True
68,297,8,True,False,True,False
68,368,10,True,False,True,False
69,98,10,True,True,True,True
69,104,10,True,False,True,False
69,111,10,True,False,True,False
69,141,10,True,False,True,False
69,171,10,True,False,True,False
69,213,10,True,False,True,False
69,260,10,True,False,True,True
69,285,10,True,False,True,False
69,289,8,True,False,True,True
69,349,10,True,False,True,False
69,382,10,True,False,True,False
69,385,10,True,False,True,False
72,111,10,True,False,True,False
72,129,10,True,True,True,True
73,108,8,True,True,True,False
73,176,10,True,False,True,True
73,229,10,True,False,True,True
74,112,10,True,False,True,True
74,143,10,True,True,False,False
74,155,10,True,False,True,True
74,165,10,True,False,True,True
74,178,10,True,False,True,True
74,223,10,True,False,True,True
74,273,10,True,False,True,False
74,285,10,True,False,True,True
75,116,10,True,False,True,True
75,131,10,True,True,True,True
75,154,10,True,True,True,True
75,162,10,True,False,True,True
75,178,10,True,True,True,True
75,234,8,True,False,True,False
75,247,10,True,True,True,False
75,258,10,True,True,True,False
75,271,10,True,True,True,True
75,348,10,True,False,True,True
75,377,10,True,True,True,True
76,162,10,True,False,True,False
76,217,8,True,True,True,False
81,166,10,True,False,True,False
81,238,10,True,True,True,False
83,117,10,True,True,True,False
83,153,10,True,False,True,False
84,276,10,True,True,True,False
85,264,10,True,True,True,True
86,114,8,True,False,False,False
86,361,0,True,True,False,False
88,89,10,True,False,True,False
88,112,10,True,False,True,False
88,143,10,True,True,False,False
88,181,10,True,False,True,False
88,285,10,True,False,True,False
88,311,10,True,False,True,True
88,313,10,True,False,True,True
89,143,10,True,True,False,False
89,304,10,True,False,True,True
92,98,10,True,True,True,True
92,106,8,True,False,True,True
92,177,10,True,False,True,False
92,191,10,True,False,True,False
92,260,8,True,False,True,True
92,344,10,True,False,True,False
94,145,10,True,False,False,False
94,244,10,True,True,False,False
94,343,10,True,True,True,False
97,165,10,True,False,True,True
98,104,6,True,True,True,True
98,106,10,True,True,True,False
98,139,10,True,True,True,False
98,141,8,True,True,True,True
98,167,10,True,False,True,True
98,171,10,True,True,True,True
98,179,10,True,True,True,False
98,181,8,True,True,True,True
98,191,6,True,True,True,True
98,199,10,True,False,False,False
98,211,6,True,True,True,True
98,213,10,True,True,True,True
98,241,8,True,True,True,True
98,260,10,True,True,True,False
98,266,10,True,True,True,True
98,273,10,True,True,True,True
98,315,10,True,True,True,True
98,344,8,True,True,True,True
98,349,6,True,True,True,True
98,385,8,True,True,True,True
99,111,10,True,False,True,False
99,128,10,True,False,True,True
99,154,10,True,False,True,False
99,238,10,True,False,True,False
99,277,10,True,True,True,False
99,299,10,True,True,True,False
99,348,10,True,True,True,False
100,165,10,True,False,True,True
100,285,8,True,False,True,False
100,312,10,True,False,True,False
100,354,10,True,True,True,False
100,371,10,True,True,True,True
101,315,10,True,False,True,True
101,355,8,True,False,True,True
103,231,0,True,True,False,False
103,308,10,True,False,False,False
104,107,10,True,False,True,True
104,129,10,True,True,True,True
104,141,10,True,False,True,False
104,171,8,True,False,True,False
104,181,6,True,False,True,False
104,191,8,True,False,True,False
104,211,8,True,False,True,False
104,213,10,True,False,True,False
104,235,8,True,False,True,False
104,241,10,True,False,True,False
104,266,6,True,False,True,False
104,289,8,True,False,True,True
104,328,10,True,False,True,False
104,349,6,True,False,True,False
104,385,6,True,False,True,False
105,331,10,True,True,True,False
106,141,10,True,False,True,True
106,148,10,True,True,False,False
106,177,8,True,False,True,True
106,260,10,True,False,True,False
106,324,10,True,False,True,True
107,119,10,True,False,True,False
107,141,10,True,False,True,True
107,171,10,True,False,True,True
107,181,10,True,False,True,True
107,201,10,True,False,True,True
107,223,8,True,False,True,True
107,273,10,True,False,True,True
107,322,10,True,False,True,True
107,385,8,True,False,True,True
108,162,10,True,False,True,False
108,176,10,True,True,True,True
110,326,10,True,True,True,True
111,128,10,True,False,True,True
111,165,8,True,False,True,True
111,178,10,True,False,True,False
111,266,10,True,False,True,False
111,354,8,True,True,True,False
112,143,4,True,True,False,False
112,165,10,True,False,True,True
112,181,8,True,False,True,False
112,211,8,True,False,True,False
112,241,10,True,False,True,False
112,264,10,True,True,True,True
112,273,10,True,False,True,True
112,285,10,True,False,True,False
112,311,8,True,False,True,True
112,344,10,True,False,True,False
112,349,10,True,False,True,False
112,385,10,True,False,True,False
113,155,8,True,False,True,False
113,171,8,True,False,True,False
113,181,10,True,False,True,False
113,186,10,True,False,True,True
113,199,10,True,True,False,False
113,211,10,True,False,True,False
113,237,10,True,False,True,False
113,241,10,True,False,True,False
113,254,10,True,False,True,False
113,263,10,True,False,True,False
113,273,10,True,False,True,True
113,385,10,True,False,True,False
114,361,8,True,True,False,False
115,135,8,True,True,True,False
115,262,10,True,True,True,True
115,315,10,True,False,True,True
115,322,10,True,False,True,False
116,128,6,True,True,True,False
116,258,10,True,True,True,True
116,300,10,True,True,True,True
117,129,10,True,True,True,True
117,153,10,True,True,True,False
117,162,10,True,True,True,False
117,178,10,True,False,True,False
117,315,10,True,False,True,True
117,342,10,True,False,True,False
119,127,10,True,False,True,True
119,144,10,True,False,True,True
119,160,10,True,False,True,True
119,185,10,True,True,True,True
119,186,10,True,False,True,False
119,207,8,True,False,True,True
119,223,10,True,False,True,True
119,255,10,True,True,True,False
119,257,6,True,True,True,True
119,264,8,True,True,True,True
119,280,10,True,False,True,True
119,338,6,True,True,True,False
119,355,8,True,False,True,True
119,385,10,True,False,True,True
122,176,10,True,False,True,True
122,254,10,True,False,True,False
123,242,0,True,True,False,False
123,337,10,True,True,False,False
124,172,10,True,True,True,False
124,262,10,True,True,True,True
127,151,10,True,False,True,False
127,207,10,True,False,True,False
127,257,10,True,True,True,True
127,308,10,True,False,True,True
127,317,10,True,True,True,True
127,338,8,True,True,True,True
128,131,10,True,False,True,True
128,162,10,True,True,True,True
128,165,10,True,False,True,True
128,178,10,True,False,True,True
128,234,10,True,True,True,True
128,258,10,True,False,True,True
128,300,8,True,False,True,True
128,315,10,True,False,True,False
129,162,10,True,False,True,True
129,165,10,True,True,True,True
129,178,10,True,True,True,True
129,181,10,True,True,True,True
129,241,8,True,True,True,True
129,266,10,True,True,True,True
129,271,8,True,True,True,True
129,286,10,True,False,True,False
129,315,10,True,True,True,False
129,344,8,True,True,True,True
129,349,8,True,True,True,True
129,385,10,True,True,True,True
131,238,10,True,False,True,False
131,302,10,True,True,True,False
135,172,10,True,False,True,False
135,262,10,True,False,True,True
139,155,10,True,False,True,True
139,179,0,True,False,True,False
139,182,10,True,False,True,True
139,185,10,True,True,True,True
139,199,10,True,True,False,False
139,211,10,True,False,True,True
139,237,10,True,False,True,True
139,264,10,True,True,True,True
139,285,10,True,False,True,True
139,330,8,True,False,True,False
139,338,10,True,True,True,False
140,272,8,True,False,True,False
141,171,10,True,False,True,False
141,177,10,True,False,True,False
141,211,8,True,False,True,False
141,213,8,True,False,True,False
141,241,10,True,False,True,False
141,263,10,True,False,True,False
141,285,8,True,False,True,False
141,323,10,True,True,True,False
141,349,10,True,False,True,False
141,371,10,True,True,True,True
141,385,10,True,False,True,False
143,165,10,True,True,False,False
143,211,10,True,True,False,False
143,285,10,True,True,False,False
143,304,10,True,True,False,False
143,311,10,True,True,False,False
143,313,10,True,True,False,False
143,371,10,True,False,False,False
144,360,10,True,False,True,False
145,244,0,True,True,False,False
145,343,4,True,True,False,False
147,329,0,True,True,False,False
147,380,0,True,True,False,False
148,262,10,True,False,False,False
148,324,10,True,True,False,False
148,369,10,True,False,False,False
150,192,10,True,True,True,False
150,299,10,True,True,True,False
151,171,10,True,False,True,True
151,182,10,True,False,True,False
