modality,model,dev_images,dev_cases,fold_auroc_mean_sd,fold_auroc_range,fold_auprc_mean_sd,pooled_oof_auroc,pooled_oof_auprc,pooled_brier,pooled_ece15,sensitivity_at_fold_thresholds,specificity_at_fold_thresholds,within_cv_case_leakage
ultrasound,ConvNeXt-Small,309,309,0.644 ± 0.102,0.508–0.758,0.722 ± 0.090,0.528 (0.463–0.595),0.627 (0.553–0.708),0.288,0.203,0.464,0.723,0.0
ultrasound,EfficientNet-B3,309,309,0.700 ± 0.080,0.584–0.800,0.771 ± 0.051,0.707 (0.647–0.764),0.767 (0.703–0.824),0.328,0.323,0.715,0.554,0.0
ultrasound,Swin-Tiny,309,309,0.612 ± 0.066,0.529–0.681,0.682 ± 0.062,0.588 (0.522–0.656),0.653 (0.580–0.734),0.259,0.148,0.419,0.738,0.0
ultrasound,ResNet-50,309,309,0.743 ± 0.084,0.604–0.833,0.796 ± 0.065,0.721 (0.664–0.777),0.767 (0.704–0.825),0.234,0.176,0.682,0.623,0.0
ultrasound,DenseNet-121,309,309,0.796 ± 0.048,0.716–0.840,0.838 ± 0.028,0.776 (0.725–0.825),0.808 (0.746–0.866),0.219,0.165,0.693,0.7,0.0
ultrasound,Ensemble (mean of 5),309,309,0.763 ± 0.094,0.599–0.829,0.822 ± 0.063,0.768 (0.716–0.819),0.809 (0.750–0.866),0.202,0.115,0.709,0.646,0.0
cytology,ConvNeXt-Small,1118,326,0.872 ± 0.071,0.800–0.953,0.880 ± 0.060,0.868 (0.833–0.898),0.858 (0.810–0.904),0.153,0.041,0.844,0.75,0.0
cytology,EfficientNet-B3,1118,326,0.960 ± 0.023,0.929–0.988,0.957 ± 0.028,0.954 (0.936–0.970),0.951 (0.927–0.971),0.088,0.081,0.92,0.882,0.0
cytology,Swin-Tiny,1118,326,0.963 ± 0.027,0.935–0.998,0.964 ± 0.029,0.950 (0.929–0.969),0.945 (0.911–0.971),0.079,0.043,0.899,0.891,0.0
cytology,ResNet-50,1118,326,0.958 ± 0.027,0.931–0.996,0.963 ± 0.024,0.956 (0.938–0.971),0.961 (0.944–0.976),0.079,0.034,0.921,0.876,0.0
cytology,DenseNet-121,1118,326,0.957 ± 0.026,0.924–0.990,0.959 ± 0.030,0.948 (0.929–0.966),0.949 (0.922–0.969),0.087,0.065,0.889,0.887,0.0
cytology,Ensemble (mean of 5),1118,326,0.964 ± 0.028,0.933–0.996,0.966 ± 0.029,0.958 (0.938–0.975),0.956 (0.928–0.977),0.069,0.045,0.944,0.886,0.0
