modality,model,temperature,test_ece_before,test_ece_after,test_brier_before,test_brier_after,accuracy_original,accuracy_scaled_same_numeric_threshold,accuracy_scaled_threshold_reselected_on_val,decisions_identical_after_reselection
ultrasound,ConvNeXt-Small,>100 (search bound; near-uninformative logits),0.11,0.082,0.255,0.25,0.709,0.582,0.709,True
ultrasound,EfficientNet-B3,8.186,0.244,0.245,0.214,0.185,0.8,0.582,0.8,True
ultrasound,Swin-Tiny,>100 (search bound; near-uninformative logits),0.225,0.083,0.268,0.25,0.6,0.582,0.6,True
ultrasound,ResNet-50,8.598,0.439,0.211,0.396,0.249,0.691,0.582,0.691,True
ultrasound,DenseNet-121,3.125,0.292,0.229,0.246,0.201,0.691,0.709,0.691,True
ultrasound,Ensemble (mean of 5),1.499,0.289,0.285,0.223,0.22,0.782,0.836,0.782,True
cytology,ConvNeXt-Small,0.711,0.096,0.06,0.061,0.056,0.925,0.921,0.925,True
cytology,EfficientNet-B3,2.635,0.072,0.066,0.065,0.055,0.911,0.907,0.911,True
cytology,Swin-Tiny,0.74,0.087,0.065,0.037,0.034,0.944,0.944,0.944,True
cytology,ResNet-50,1.98,0.043,0.049,0.028,0.029,0.93,0.897,0.93,True
cytology,DenseNet-121,1.264,0.07,0.071,0.061,0.06,0.935,0.939,0.935,True
cytology,Ensemble (mean of 5),0.7,0.074,0.058,0.038,0.037,0.939,0.939,0.939,True
