bin,mean_pred,frac_pos,n,modality,scaling
1,0.17650971044164354,0.07142857142857142,14,ultrasound,before
2,0.25083420710273,0.5,12,ultrasound,before
3,0.34439038474312317,0.5714285714285714,7,ultrasound,before
4,0.4364546675607562,1.0,10,ultrasound,before
5,0.5425721613897219,0.8888888888888888,9,ultrasound,before
6,0.6330181797345479,1.0,3,ultrasound,before
2,0.2634384647888638,0.07142857142857142,14,ultrasound,after
3,0.3428560661929665,0.5294117647058824,17,ultrasound,after
4,0.45018684903205314,0.9166666666666666,12,ultrasound,after
5,0.5438552666533034,0.9166666666666666,12,ultrasound,after
0,0.02636708701470145,0.0,88,cytology,before
1,0.1591970596229779,0.3,10,cytology,before
2,0.23820492685437777,0.2,5,cytology,before
3,0.33605737273348485,0.8,5,cytology,before
4,0.4560445058811456,0.6,5,cytology,before
5,0.5484907986667774,1.0,3,cytology,before
6,0.6666985919078191,1.0,3,cytology,before
7,0.7650901347398759,1.0,6,cytology,before
8,0.8657562255859376,1.0,13,cytology,before
9,0.9572244081058002,1.0,76,cytology,before
0,0.012538879792069605,0.010416666666666666,96,cytology,after
1,0.13517145344553932,0.5,6,cytology,after
2,0.24390313047817108,0.5,4,cytology,after
3,0.3382279091138411,1.0,3,cytology,after
4,0.44838570284995327,0.5,4,cytology,after
5,0.5354674308172938,1.0,2,cytology,after
6,0.6648931593725604,1.0,2,cytology,after
7,0.7603554330198605,1.0,3,cytology,after
8,0.860887975156433,1.0,6,cytology,after
9,0.9805339289088576,1.0,88,cytology,after
