modality,model,fold,threshold_inner_val,selected_on
ultrasound,ConvNeXt-Small,1,0.3135,"inner validation split of the outer training folds, Youden index"
ultrasound,ConvNeXt-Small,2,0.4692,"inner validation split of the outer training folds, Youden index"
ultrasound,ConvNeXt-Small,3,0.3828,"inner validation split of the outer training folds, Youden index"
ultrasound,ConvNeXt-Small,4,0.3057,"inner validation split of the outer training folds, Youden index"
ultrasound,ConvNeXt-Small,5,0.4073,"inner validation split of the outer training folds, Youden index"
ultrasound,EfficientNet-B3,1,0.0051,"inner validation split of the outer training folds, Youden index"
ultrasound,EfficientNet-B3,2,0.6974,"inner validation split of the outer training folds, Youden index"
ultrasound,EfficientNet-B3,3,0.9934,"inner validation split of the outer training folds, Youden index"
ultrasound,EfficientNet-B3,4,0.2248,"inner validation split of the outer training folds, Youden index"
ultrasound,EfficientNet-B3,5,0.0129,"inner validation split of the outer training folds, Youden index"
ultrasound,Swin-Tiny,1,0.5155,"inner validation split of the outer training folds, Youden index"
ultrasound,Swin-Tiny,2,0.5982,"inner validation split of the outer training folds, Youden index"
ultrasound,Swin-Tiny,3,0.3256,"inner validation split of the outer training folds, Youden index"
ultrasound,Swin-Tiny,4,0.4551,"inner validation split of the outer training folds, Youden index"
ultrasound,Swin-Tiny,5,0.5037,"inner validation split of the outer training folds, Youden index"
ultrasound,ResNet-50,1,0.4076,"inner validation split of the outer training folds, Youden index"
ultrasound,ResNet-50,2,0.3685,"inner validation split of the outer training folds, Youden index"
ultrasound,ResNet-50,3,0.5902,"inner validation split of the outer training folds, Youden index"
ultrasound,ResNet-50,4,0.9531,"inner validation split of the outer training folds, Youden index"
ultrasound,ResNet-50,5,0.0926,"inner validation split of the outer training folds, Youden index"
ultrasound,DenseNet-121,1,0.533,"inner validation split of the outer training folds, Youden index"
ultrasound,DenseNet-121,2,0.9834,"inner validation split of the outer training folds, Youden index"
ultrasound,DenseNet-121,3,0.5421,"inner validation split of the outer training folds, Youden index"
ultrasound,DenseNet-121,4,0.1268,"inner validation split of the outer training folds, Youden index"
ultrasound,DenseNet-121,5,0.3156,"inner validation split of the outer training folds, Youden index"
ultrasound,Ensemble (mean of 5),1,0.3643,"inner validation split of the outer training folds, Youden index"
ultrasound,Ensemble (mean of 5),2,0.6206,"inner validation split of the outer training folds, Youden index"
ultrasound,Ensemble (mean of 5),3,0.4991,"inner validation split of the outer training folds, Youden index"
ultrasound,Ensemble (mean of 5),4,0.4836,"inner validation split of the outer training folds, Youden index"
ultrasound,Ensemble (mean of 5),5,0.357,"inner validation split of the outer training folds, Youden index"
cytology,ConvNeXt-Small,1,0.5276,"inner validation split of the outer training folds, Youden index"
cytology,ConvNeXt-Small,2,0.5702,"inner validation split of the outer training folds, Youden index"
cytology,ConvNeXt-Small,3,0.3048,"inner validation split of the outer training folds, Youden index"
cytology,ConvNeXt-Small,4,0.2497,"inner validation split of the outer training folds, Youden index"
cytology,ConvNeXt-Small,5,0.5902,"inner validation split of the outer training folds, Youden index"
cytology,EfficientNet-B3,1,0.0162,"inner validation split of the outer training folds, Youden index"
cytology,EfficientNet-B3,2,0.8934,"inner validation split of the outer training folds, Youden index"
cytology,EfficientNet-B3,3,0.6218,"inner validation split of the outer training folds, Youden index"
cytology,EfficientNet-B3,4,0.2237,"inner validation split of the outer training folds, Youden index"
cytology,EfficientNet-B3,5,0.9314,"inner validation split of the outer training folds, Youden index"
cytology,Swin-Tiny,1,0.6432,"inner validation split of the outer training folds, Youden index"
cytology,Swin-Tiny,2,0.9156,"inner validation split of the outer training folds, Youden index"
cytology,Swin-Tiny,3,0.4394,"inner validation split of the outer training folds, Youden index"
cytology,Swin-Tiny,4,0.1015,"inner validation split of the outer training folds, Youden index"
cytology,Swin-Tiny,5,0.4225,"inner validation split of the outer training folds, Youden index"
cytology,ResNet-50,1,0.4239,"inner validation split of the outer training folds, Youden index"
cytology,ResNet-50,2,0.7685,"inner validation split of the outer training folds, Youden index"
cytology,ResNet-50,3,0.308,"inner validation split of the outer training folds, Youden index"
cytology,ResNet-50,4,0.3448,"inner validation split of the outer training folds, Youden index"
cytology,ResNet-50,5,0.6778,"inner validation split of the outer training folds, Youden index"
cytology,DenseNet-121,1,0.4758,"inner validation split of the outer training folds, Youden index"
cytology,DenseNet-121,2,0.816,"inner validation split of the outer training folds, Youden index"
cytology,DenseNet-121,3,0.5787,"inner validation split of the outer training folds, Youden index"
cytology,DenseNet-121,4,0.7419,"inner validation split of the outer training folds, Youden index"
cytology,DenseNet-121,5,0.7091,"inner validation split of the outer training folds, Youden index"
cytology,Ensemble (mean of 5),1,0.3089,"inner validation split of the outer training folds, Youden index"
cytology,Ensemble (mean of 5),2,0.6915,"inner validation split of the outer training folds, Youden index"
cytology,Ensemble (mean of 5),3,0.4424,"inner validation split of the outer training folds, Youden index"
cytology,Ensemble (mean of 5),4,0.4036,"inner validation split of the outer training folds, Youden index"
cytology,Ensemble (mean of 5),5,0.5232,"inner validation split of the outer training folds, Youden index"
